president,nationalism,legislation,2,3,4,peace,6,war,military,war and economics,10,international diplomacy,12,13,14,15,16,provision,18,19,20,21,22,basic needs,24
Dwight-D-Eisenhower-1959,0.018346733,0.00061842919,0,0.0282416,0.027829314,0.047000618,0,0.037930324,0.0059781488,0.021026592,0.058132344,0,0.015254587,0.036487322,0.038548753,0.00041228613,0.023294166,0.0010307153,0.0016491445,0.015666873,0.0028860029,0.057101629,0.011131725,0.041640899,0.037518038
Dwight-D-Eisenhower-1960,0.022400291,0,0.0071025314,0.029320707,0.034784192,0.062101621,0.0058277181,0.047714442,0,0.014933528,0.035148425,0.0061919505,0.013476598,0.0063740667,0.051903114,0.0087415771,0.025496267,0,0.0091058095,0.020943362,0.0061919505,0.034237844,0.0060098343,0.042433072,0.044254234
John-F-Kennedy-1961,0.035813768,0,0,0.016315161,0.039594111,0.04178273,0,0.030839634,0.001591723,0.017707919,0.038599284,0.0033824115,0.012335854,0.026860326,0.049741345,0.0095503382,0.028253084,0,0.0045762037,0.038997214,0.013529646,0.052924791,0.0091524075,0.034619976,0.033625149
Dwight-D-Eisenhower-1961,0.010427178,0,0.0038681467,0.045240498,0.031113354,0.018836192,0.0035317861,0.042045072,0.0026908846,0.028254289,0.071140262,0.013622603,0,0.06374033,0.038849647,0.0045408678,0.015136226,0.00033636058,0.0020181635,0.021358897,0,0.060040363,0.015472587,0.056172217,0.030608813
John-F-Kennedy-1962,0.02676711,0.0032056419,0.0088155153,0.017791313,0.030293316,0.043276166,0.00096169258,0.038788267,0,0.020516108,0.04359673,0.0060907197,0.015226799,0.038307421,0.04279532,0.0068921301,0.014265107,0,0.0001602821,0.044077577,0.012502004,0.045680397,0.00048084629,0.030934445,0.043115884
John-F-Kennedy-1963,0.038618281,0.0034931108,0.0046574811,0.017853677,0.019600233,0.061323501,0,0.052008539,0,0.019794295,0.029885504,0.007374345,0.017271492,0.029885504,0.048903551,0,0.012225888,0.0017465554,0.0034931108,0.049291675,0.0077624685,0.030467689,0,0.031049874,0.040364836
Lyndon-B-Johnson-1964,0.055501775,0,0.0016134237,0,0.023555986,0.053565666,0,0.022910616,0,0.021619877,0.030977735,0.0080671184,0.0077444337,0.044207809,0.02452404,0.0058083253,0.007421749,0.015166183,0,0.045498548,0.031945789,0.024201355,0,0.054211036,0.023878671
Lyndon-B-Johnson-1965,0.052804506,0,0,0.0039896738,0.030274583,0.071344755,0.00023468669,0.03050927,0,0,0.024407416,0,0.011969021,0.020887116,0.021356489,0.00023468669,0.011969021,0.014315888,0.009152781,0.046467965,0.039192678,0.025111476,0.0049284206,0.053039193,0.020652429
Lyndon-B-Johnson-1966,0.05189921,0,0,0.0030086499,0.034411433,0.070515231,0.0084618278,0.03967657,0,0.014291087,0.021624671,0.0011282437,0.004889056,0.023317036,0.018992102,0.0054531779,0.0094020308,0.021812712,0.0058292591,0.032531027,0.03647988,0.021812712,0.0058292591,0.046257992,0.014667168
Lyndon-B-Johnson-1967,0.051222011,0,0.0045368067,0.0032196693,0.029855115,0.066149568,0,0.027659886,0,0.01887897,0.027513537,0.0083418703,0.0055612469,0.033806527,0.023415776,0.0035123665,0.01463486,0.021513245,0,0.036879848,0.038636031,0.020488804,0.0073174301,0.030440509,0.028684326
Lyndon-B-Johnson-1968,0.039346377,0.004515158,0.0070952483,0.0062352182,0.028165986,0.051816814,0.00043001505,0.0062352182,0.0015050527,0.018060632,0.031176091,0.0049451731,0.0021500753,0.063857235,0.026015911,0.0058052032,0.0068802408,0.023865835,0,0.033971189,0.048591701,0.02085573,0.0090303161,0.040636422,0.025370888
Lyndon-B-Johnson-1969,0.047802621,0,0.01464919,0.009766127,0.021845284,0.065278849,0,0.013364174,0,0.012593164,0.028270368,0.0059110768,0.013364174,0.018504241,0.018761244,0,0.0077101002,0.024672321,0.00154202,0.018761244,0.045489591,0.029555384,0.0043690568,0.046517605,0.021331277
Richard-M-Nixon-1970,0.033605601,0,0,0.0060676779,0.019836639,0.07747958,0,0.0168028,0,0,0.02823804,0.0035005834,0.0044340723,0.046441074,0.016569428,0,0.0095682614,0.0035005834,0,0.027537923,0.076546091,0.017269545,0.0065344224,0.046674446,0.031271879
Richard-M-Nixon-1971,0.046598322,0,0.00023299161,0.0039608574,0.038210624,0.050326188,0,0.00069897484,0,0.0046598322,0.012814539,0.0011649581,0.00093196645,0.054753029,0,0,0.0037278658,0.012115564,0.0013979497,0.018173346,0.11346692,0.017008388,0.016076421,0.060344828,0.019338304
Richard-M-Nixon-1972,0.020885671,0,0,0.011969854,0.030392591,0.043052066,0.0032018127,0.0023151569,0,0.010886163,0.04585981,0.023053052,0.0020196049,0.089897049,0.020294567,0,0.012659475,0.0032510714,0.0021181223,0.026353382,0.038963598,0.043692429,0.013989459,0.054332299,0.014235752
Richard-M-Nixon-1973,0.016956955,0.0047955191,0.0008056472,0.024514693,0.039323256,0.030537865,0.010818691,0.00042200568,0.0033760454,0.0052558889,0.045653342,0.024783243,0.0028389473,0.1302463,0.003529502,0.0014578378,0.011662702,0.0016112944,0.0016112944,0.014156372,0.030537865,0.024783243,0.031381877,0.065525973,0.019450625
Richard-M-Nixon-1974,0.011707465,0,0.0025087426,0.022616695,0.030561046,0.033944047,0.00030409001,0.0023566976,0,0.005739699,0.064429071,0.04770412,0.0024707313,0.10734377,0.021666413,0.0025467538,0.0095788353,0.00057016877,0.00079823628,0.011821499,0.021248289,0.03827733,0.016040748,0.064923217,0.015964726
Gerald-R-Ford-1975,0.017409114,0,0,0.016897081,0.020737327,0.038146441,0,0.0079365079,0,0.012544803,0.064260113,0.03328213,0.00025601639,0.072196621,0.072452637,0,0.011008705,0.017921147,0.0038402458,0.025857655,0.030721966,0.032002048,0.0030721966,0.030977983,0.016385049
Gerald-R-Ford-1976,0.047739222,0.00063091483,0,0,0.026919033,0.039327024,0.0033648791,0.014300736,0.00021030494,0.0044164038,0.039537329,0.011987382,0,0.07360673,0.030704522,0,0.0063091483,0.032386961,0.003785489,0.041640379,0.068559411,0.029652997,0.011987382,0.038696109,0.013880126
